id,symbol,date,open_price,high_price,low_price,close_price,volume,created_at
248,HGFA,2026-01-23,18.3,18.8,18.3,18.3,20116,2026-01-22 20:05:45
249,HICL,2026-01-23,13.0,13.0,12.6,12.6,7089,2026-01-22 20:05:47
250,HIFA,2026-01-23,6.7,6.94,6.55,6.62,312371,2026-01-22 20:05:50
251,HINO,2026-01-23,478.0,485.0,476.0,478.39,2398,2026-01-22 20:05:52
252,HINOON,2026-01-23,1051.01,1055.0,1035.0,1040.0,14434,2026-01-22 20:05:56
253,HIRAT,2026-01-23,4.79,4.8,4.7,4.75,9550,2026-01-22 20:06:00
254,HMB,2026-01-23,117.14,117.14,116.0,116.25,67997,2026-01-22 20:06:08
255,HMIM,2026-01-23,8.0,8.94,8.0,8.75,3000,2026-01-22 20:06:10
256,HPL,2026-01-23,4325.1,4500.0,4325.1,4400.0,327,2026-01-22 20:06:13
257,HRPL,2026-01-23,25.0,25.0,24.0,24.0,10590,2026-01-22 20:06:17
258,HSPI,2026-01-23,7.99,8.99,7.99,8.99,99532,2026-01-22 20:06:20
259,HTL,2026-01-23,61.26,61.3,60.59,60.7,70790,2026-01-22 20:06:23
260,HUBC,2026-01-23,240.0,243.0,239.5,240.52,4437229,2026-01-22 20:06:27
261,HUMNL,2026-01-23,13.13,13.19,13.01,13.07,851421,2026-01-22 20:06:31
262,HUSI,2026-01-23,31.89,31.89,31.8,31.8,101,2026-01-22 20:06:35
263,HWQS,2026-01-23,22.8,23.5,22.8,23.02,2269,2026-01-22 20:06:39
264,IBFL,2026-01-23,260.0,260.0,260.0,260.0,5,2026-01-22 20:06:41
265,IBLHL,2026-01-23,61.75,62.0,60.61,61.0,101627,2026-01-22 20:06:45
266,ICCI,2026-01-23,12.55,12.99,12.55,12.99,4750,2026-01-22 20:06:47
267,ICIBL,2026-01-23,5.17,5.4,5.17,5.34,405222,2026-01-22 20:06:50
268,ICL,2026-01-23,163.0,165.0,162.0,163.8,20688,2026-01-22 20:06:54
269,IDRT,2026-01-23,30.25,30.25,29.6,29.6,1542,2026-01-22 20:06:57
270,IDSM,2026-01-23,26.8,26.8,26.7,26.7,1200,2026-01-22 20:07:01
271,IDYM,2026-01-23,167.46,167.46,160.05,165.49,26429,2026-01-22 20:07:04
